 960: 3.845489, 4.569918 avg loss, 0.000007 rate, 19.606452 seconds, 491520 images, 30.180172 hours left
 968: 3.874274, 4.500354 avg loss, 0.000008 rate, 9.279095 seconds, 495616 images, 30.152863 hours left
 976: 4.218361, 4.472155 avg loss, 0.000008 rate, 9.095893 seconds, 499712 images, 29.981036 hours left
 984: 4.249868, 4.449926 avg loss, 0.000008 rate, 9.111882 seconds, 503808 images, 29.808166 hours left
 992: 4.589422, 4.463875 avg loss, 0.000008 rate, 9.179273 seconds, 507904 images, 29.637046 hours left
 1000: 4.334803, 4.450968 avg loss, 0.000009 rate, 9.006332 seconds, 512000 images, 29.468372 hours left
 1008: 3.973146, 4.403186 avg loss, 0.000009 rate, 9.108434 seconds, 516096 images, 29.298779 hours left
 1016: 3.966530, 4.359520 avg loss, 0.000009 rate, 8.966164 seconds, 520192 images, 29.132097 hours left
 1024: 3.888222, 4.312390 avg loss, 0.000010 rate, 9.024971 seconds, 524288 images, 28.964909 hours left
 1032: 3.869478, 4.268099 avg loss, 0.000010 rate, 9.008789 seconds, 528384 images, 28.800007 hours left
 1040: 3.624449, 4.203734 avg loss, 0.000010 rate, 8.884026 seconds, 532480 images, 28.636356 hours left
 1048: 3.779622, 4.161323 avg loss, 0.000010 rate, 19.007296 seconds, 536576 images, 28.472397 hours left
 1056: 3.632093, 4.108399 avg loss, 0.000011 rate, 18.940532 seconds, 540672 images, 28.449130 hours left
 1064: 4.001706, 4.097730 avg loss, 0.000011 rate, 19.518047 seconds, 544768 images, 28.424757 hours left
 1072: 3.854373, 4.073394 avg loss, 0.000011 rate, 18.911636 seconds, 548864 images, 28.408125 hours left
 1080: 3.484142, 4.014469 avg loss, 0.000012 rate, 19.431897 seconds, 552960 images, 28.382925 hours left
 1088: 3.875098, 4.000532 avg loss, 0.000012 rate, 19.304723 seconds, 557056 images, 28.364666 hours left
 1096: 3.705232, 3.971002 avg loss, 0.000012 rate, 19.146815 seconds, 561152 images, 28.344423 hours left
 1104: 3.742899, 3.948192 avg loss, 0.000013 rate, 19.503180 seconds, 565248 images, 28.321803 hours left
 1112: 3.650923, 3.918465 avg loss, 0.000013 rate, 19.347576 seconds, 569344 images, 28.303830 hours left
 1120: 3.630836, 3.889702 avg loss, 0.000014 rate, 18.913296 seconds, 573440 images, 28.283490 hours left
 1128: 3.732262, 3.873958 avg loss, 0.000014 rate, 22.181233 seconds, 577536 images, 28.257037 hours left
 1136: 3.743816, 3.860944 avg loss, 0.000014 rate, 21.833809 seconds, 581632 images, 28.274654 hours left
 1144: 3.552932, 3.830142 avg loss, 0.000015 rate, 22.190938 seconds, 585728 images, 28.286908 hours left
 1152: 3.580077, 3.805136 avg loss, 0.000015 rate, 21.474903 seconds, 589824 images, 28.303371 hours left
 1160: 3.329778, 3.757600 avg loss, 0.000016 rate, 21.718788 seconds, 593920 images, 28.309535 hours left
 1168: 3.730849, 3.754925 avg loss, 0.000016 rate, 22.303764 seconds, 598016 images, 28.318438 hours left
 1176: 3.658927, 3.745325 avg loss, 0.000016 rate, 21.771599 seconds, 602112 images, 28.334621 hours left
 1184: 3.716857, 3.742479 avg loss, 0.000017 rate, 21.885766 seconds, 606208 images, 28.343016 hours left
 1192: 3.688763, 3.737107 avg loss, 0.000017 rate, 21.900029 seconds, 610304 images, 28.352370 hours left
 1200: 3.637597, 3.727156 avg loss, 0.000018 rate, 21.789628 seconds, 614400 images, 28.361335 hours left
 1208: 3.678377, 3.722278 avg loss, 0.000018 rate, 11.086143 seconds, 618496 images, 28.368252 hours left
 1216: 3.518001, 3.701850 avg loss, 0.000019 rate, 11.190179 seconds, 622592 images, 28.232139 hours left
 1224: 3.891671, 3.720832 avg loss, 0.000019 rate, 11.203618 seconds, 626688 images, 28.098524 hours left
 1232: 3.664326, 3.715182 avg loss, 0.000020 rate, 11.081312 seconds, 630784 images, 27.966176 hours left
 1240: 3.897133, 3.733377 avg loss, 0.000020 rate, 11.077571 seconds, 634880 images, 27.833281 hours left
 1248: 3.514974, 3.711537 avg loss, 0.000021 rate, 11.036245 seconds, 638976 images, 27.701420 hours left
 1256: 3.828598, 3.723243 avg loss, 0.000021 rate, 11.236194 seconds, 643072 images, 27.570087 hours left
 1264: 3.543355, 3.705254 avg loss, 0.000022 rate, 11.141554 seconds, 647168 images, 27.442456 hours left
 1272: 3.922101, 3.726939 avg loss, 0.000022 rate, 11.233582 seconds, 651264 images, 27.314606 hours left
 1280: 3.649721, 3.719217 avg loss, 0.000023 rate, 11.037980 seconds, 655360 images, 27.188997 hours left
 1288: 3.457432, 3.693038 avg loss, 0.000023 rate, 9.093028 seconds, 659456 images, 27.061829 hours left
 1296: 3.689965, 3.692731 avg loss, 0.000024 rate, 9.091356 seconds, 663552 images, 26.910229 hours left
 1304: 3.609900, 3.684448 avg loss, 0.000025 rate, 9.302917 seconds, 667648 images, 26.759922 hours left
 1312: 3.523009, 3.668304 avg loss, 0.000025 rate, 9.227079 seconds, 671744 images, 26.613676 hours left
 1320: 3.292041, 3.630678 avg loss, 0.000026 rate, 8.958971 seconds, 675840 images, 26.467699 hours left
